*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
5035;32.329998;11.394999;-0.098512;8.712622;0.964838;5.428767;1.820450;0.458578;2.391158;1.460395;0.684746
5065;32.011998;11.447999;-0.093457;8.772094;0.915480;5.430088;1.727321;0.425823;2.423914;1.460395;0.684746
5098;31.269998;11.606999;-0.075721;8.948140;0.742117;5.434173;1.400221;0.327556;2.522180;1.460395;0.684746
5130;29.997998;11.765999;-0.058317;9.120789;0.571764;5.437348;1.078799;0.229289;2.620447;1.460395;0.684746
5163;28.407998;11.871999;-0.047610;9.234095;0.466878;5.438891;0.880902;0.163778;2.685958;1.460395;0.684746
5195;26.499999;12.030999;-0.022987;9.401494;0.225487;5.441256;0.425448;0.065511;2.784225;1.460395;0.684746
5225;24.538999;12.083999;-0.014598;9.456636;0.143204;5.441685;0.270196;0.032756;2.816981;1.460395;0.684746
5258;22.524999;12.242999;-0.040399;9.401494;0.396202;5.439755;0.747551;0.065511;2.784225;1.460395;0.684746
5290;20.298999;12.242999;-0.070147;9.401494;0.687575;5.435280;1.297311;0.065511;2.784225;1.460395;0.684746
5323;17.966999;12.242999;-0.305299;9.401494;2.948671;5.314660;5.563530;0.065511;2.784225;1.460395;0.684746
5355;15.899999;12.136999;0.000000;9.511457;-0.000000;5.441975;-0.000000;0.000000;2.849736;1.460395;0.684746
5402;13.673999;12.083999;0.029410;9.456636;-0.288467;5.440799;-0.544277;0.032756;2.816981;1.460395;0.684746
5435;11.765999;11.924999;0.076885;9.290230;-0.753501;5.433931;-1.421700;0.131022;2.718714;1.460395;0.684746
5465;10.122999;11.712999;0.118380;9.063605;-1.158598;5.422898;-2.186034;0.262045;2.587692;1.460395;0.684746
5498;8.533000;11.288999;0.193335;8.592442;-1.884822;5.391042;-3.556269;0.524089;2.325647;1.460395;0.684746
5530;7.314000;11.076999;0.211969;8.346893;-2.063876;5.380731;-3.894107;0.655112;2.194624;1.460395;0.684746
5563;6.148000;10.811999;0.236980;8.029403;-2.303074;5.365389;-4.345424;0.818890;2.030847;1.460395;0.684746
5595;4.982000;10.387999;0.282587;7.493493;-2.735431;5.332962;-5.161191;1.080934;1.768802;1.460395;0.684746
5625;4.505000;10.069999;0.320870;7.064933;-3.093997;5.301281;-5.837730;1.277468;1.572268;1.460395;0.684746
5658;3.869000;9.751999;0.352050;6.608640;-3.382707;5.272451;-6.382467;1.474001;1.375735;1.460395;0.684746
5690;3.710000;9.063000;0.445602;5.491442;-4.228124;5.169450;-7.977593;1.899824;0.949912;1.460395;0.684746
5722;3.657000;9.274999;0.414208;5.857933;-3.948182;5.206794;-7.449400;1.768802;1.080934;1.460395;0.684746
